# Davenport 2014, MNRAS, 440, 3430, Table 1.
gmi  num_star umg umg_std gmr  gmr_std rmi rmi_std imz imz_std zmJ zmJ_std JmH JmH_std HmKs HmKs_std
 1.86    2737 2.611 0.067 1.310 0.033 0.602 0.024  0.328 0.018 1.183 0.034 0.658 0.038 0.156 0.043
 1.88    8148 2.572 0.049 1.354 0.031 0.596 0.022  0.328 0.019 1.180 0.034 0.659 0.039 0.161 0.042
 1.90    3263 2.646 0.049 1.349 0.034 0.640 0.020  0.340 0.019 1.192 0.034 0.662 0.040 0.163 0.043
 1.92    6430 2.588 0.057 1.371 0.033 0.631 0.025  0.339 0.018 1.192 0.034 0.660 0.040 0.165 0.043
 1.94    6049 2.589 0.064 1.369 0.036 0.642 0.023  0.354 0.018 1.193 0.034 0.658 0.041 0.166 0.043
 1.96    5301 2.603 0.069 1.373 0.037 0.661 0.024  0.361 0.018 1.198 0.034 0.660 0.041 0.169 0.043
 1.98    7282 2.574 0.058 1.394 0.032 0.669 0.021  0.366 0.019 1.201 0.034 0.655 0.042 0.174 0.043
 2.00    5371 2.639 0.061 1.387 0.033 0.703 0.021  0.374 0.019 1.212 0.035 0.663 0.042 0.174 0.045
 2.02    7352 2.573 0.066 1.397 0.040 0.696 0.023  0.381 0.018 1.208 0.034 0.654 0.043 0.177 0.043
 2.04    5862 2.604 0.076 1.397 0.036 0.720 0.022  0.392 0.018 1.214 0.035 0.656 0.042 0.180 0.044
 2.06    7609 2.573 0.068 1.412 0.033 0.730 0.020  0.399 0.018 1.218 0.035 0.650 0.045 0.184 0.043
 2.08    6186 2.634 0.074 1.403 0.034 0.757 0.020  0.411 0.019 1.224 0.035 0.658 0.044 0.184 0.044
 2.10    7568 2.573 0.074 1.418 0.033 0.765 0.022  0.411 0.018 1.226 0.034 0.649 0.046 0.189 0.043
 2.12    7351 2.596 0.087 1.412 0.037 0.782 0.021  0.427 0.018 1.229 0.035 0.652 0.046 0.188 0.045
 2.14    7700 2.589 0.085 1.421 0.032 0.802 0.020  0.432 0.019 1.236 0.035 0.648 0.047 0.192 0.044
 2.16    7559 2.613 0.088 1.416 0.033 0.822 0.022  0.442 0.019 1.240 0.036 0.650 0.046 0.194 0.044
 2.18    8415 2.562 0.087 1.423 0.038 0.832 0.021  0.453 0.019 1.242 0.035 0.643 0.047 0.195 0.043
 2.20    6862 2.606 0.095 1.421 0.032 0.856 0.019  0.462 0.019 1.249 0.035 0.644 0.047 0.198 0.044
 2.22    7388 2.584 0.093 1.425 0.033 0.873 0.019  0.468 0.019 1.254 0.036 0.641 0.049 0.201 0.044
