,objectid,extendedness,ra,dec,mag_i,mag_g,mag_r
58,21326290741135243,1.0,54.3166178511579,-28.2678297575031,22.571,23.1443,23.0939
59,21326290741135254,1.0,54.2367557060205,-28.2677188782178,24.1729,25.0781,24.8706
60,21326290741135267,0.0,54.2810948529632,-28.2680465884389,23.1318,23.1166,23.3202
61,21326290741135268,1.0,54.281095625983,-28.2689311646694,24.0505,24.8566,24.631
62,21326290741135269,1.0,54.2809450009731,-28.2684038676479,23.9011,24.8379,24.1607
63,21326290741135271,0.0,54.2818844862135,-28.2674010249061,24.2259,24.4678,24.4878
64,21326290741135326,0.0,54.2759572864913,-28.2666125556678,23.311,24.3877,23.6195
65,21326419590124073,1.0,54.1503962418942,-28.7018544661922,23.125,23.3212,23.2507
66,21326419590124202,1.0,54.0260485152602,-28.6961839041741,23.1729,24.372,23.5149
67,21326419590124282,0.0,54.1247236362924,-28.6923814349686,22.4129,23.1492,22.6175
68,21326419590124289,1.0,54.0263454050722,-28.6923641175978,24.0178,24.6956,24.1711
69,21326419590124299,1.0,54.1194149369175,-28.6918742845837,22.926,23.9085,23.2293
70,21326419590124364,1.0,54.0868410604673,-28.6889674944066,24.7461,25.0694,25.0634
71,21326419590124448,1.0,54.0887663417567,-28.6860879963022,21.1512,22.0928,21.7783
72,21326419590124469,1.0,54.1269026925969,-28.6853903978525,23.6155,24.2838,23.7407
73,21326419590124533,1.0,54.0936522156316,-28.6834064730528,23.1762,24.0455,23.3496
74,21326419590124560,1.0,54.0151870643245,-28.6824491562003,21.7229,22.4593,21.9949
75,21326419590124568,1.0,54.1108999885242,-28.6821003685142,22.5072,23.6289,22.7492
76,21326419590124610,1.0,54.1335472419531,-28.6799161429646,24.5598,25.0823,24.7089
77,21326419590124616,1.0,54.0194854722839,-28.6794956291183,20.8458,21.1581,20.8034
78,21326419590124696,1.0,54.0998612122978,-28.6757234480515,23.9176,24.8403,24.108
79,21326419590124710,1.0,54.0288984965955,-28.6750358126326,23.188,24.3513,23.5142
80,21326419590150543,1.0,54.1344808581004,-28.7132756931329,21.5687,22.4438,21.9345
81,21326419590150544,1.0,54.1356154214451,-28.713805217002,22.2561,23.5814,22.8328
82,21326419590150721,1.0,54.130884493859,-28.7107889463319,20.3018,20.7874,20.3749
83,21326419590150722,1.0,54.1308964843557,-28.709455282601,21.4269,23.2927,21.9738
84,21326419590150889,1.0,54.1515618359249,-28.7057686197456,23.8857,24.8667,24.2732
85,21326419590150922,1.0,54.1464781649975,-28.7047690369015,23.3065,24.2182,23.9191
86,21326419590151290,1.0,54.1549280061964,-28.6934081127813,21.1187,22.727,21.5754
87,21326419590151291,1.0,54.1554765657047,-28.6945461288702,24.3373,25.2073,24.9767
88,21326419590151351,1.0,54.1115381648123,-28.6944348006634,20.6402,21.5678,20.8438
89,21326419590151438,0.0,54.0242266935228,-28.6943556340106,24.5912,24.6804,24.8428
90,21326419590151493,1.0,54.0284390463219,-28.6909168903099,21.9282,22.4079,22.0826
91,21326419590151526,1.0,54.1136749665965,-28.6911692259355,19.9122,21.3359,20.3241
92,21326419590151527,1.0,54.118892310054,-28.6845295380864,20.4663,22.4606,21.0399
93,21326419590151528,1.0,54.1230492583775,-28.6845790125939,21.3275,22.4521,21.5873
94,21326419590151529,1.0,54.1152493628126,-28.6875722637866,21.8662,22.7217,22.0573
95,21326419590151530,1.0,54.1183785962841,-28.6885048892862,22.7339,23.2237,23.1455
96,21326419590151531,1.0,54.12015246805,-28.6837305280267,22.7639,24.3409,23.5509
97,21326419590151532,1.0,54.1157825423787,-28.6861819992855,23.2948,23.4274,23.5224
98,21326419590151533,0.0,54.1180293607523,-28.6823254724908,23.6776,24.1819,24.0919
99,21326419590151534,0.0,54.1147764187817,-28.6892693020575,24.4712,25.3465,24.6349
100,21326419590151582,1.0,54.0967148069104,-28.6888388553444,21.7172,22.4001,21.8969
101,21326419590151689,1.0,54.1248298525999,-28.6876242135297,23.4388,24.9077,23.8412
102,21326419590151690,1.0,54.1237240742948,-28.6879037530657,24.1866,24.7061,24.6127
103,21326419590151703,0.0,54.1689151024468,-28.6870428726367,24.5798,24.3308,24.6713
104,21326419590151704,0.0,54.1668365773115,-28.6872234590366,24.6294,24.7242,24.7911
105,21326419590151705,1.0,54.167465622744,-28.687280356186,24.2524,24.9753,24.8579
106,21326419590151708,0.0,54.0905834081879,-28.6878270651541,23.7653,24.8287,24.141
107,21326419590151769,1.0,54.1033842046023,-28.6859643082949,21.7785,22.4231,22.2724
108,21326419590151798,1.0,54.0991740160181,-28.6843341140101,23.7242,25.3593,24.639
