fieldID,fieldFov,fieldRA,fieldDec,fieldGL,fieldGB,fieldEL,fieldEB
1,3.5,0.0,-324000.0,-57.0680809020996,-27.1282501220703,-89.7200698852539,-66.5633087158203
2,3.5,648000.0,-315246.80786132807,-57.6638259887695,-24.7565402984619,-95.8138885498047,-66.4446258544922
3,3.5,1166401.5380859384,-315246.78039550787,-54.9804229736328,-28.7124481201172,-85.0511703491211,-65.0608367919922
4,3.5,129598.46191406233,-315246.78039550787,-58.1641464233398,-29.3598098754883,-84.4836273193359,-67.9096298217773
5,3.5,907203.9550781231,-315246.78039550787,-54.7485809326172,-25.8621253967285,-91.4486465454102,-64.2405166625977
6,3.5,388796.0174560548,-315246.78039550787,-59.7834091186523,-26.8843441009521,-91.8033752441406,-68.8631744384766
7,3.5,777599.3408203116,-306982.47985839826,-55.055305480957,-22.7673397064209,-98.3204498291016,-63.5230293273926
8,3.5,518400.65917968843,-306982.47985839826,-60.9624557495117,-23.9650478363037,-100.446922302246,-69.0103988647461
9,3.5,0.0,-306982.42492675787,-55.8324241638184,-31.7313556671143,-77.9753112792969,-66.11767578125
10,3.5,1036801.8676757808,-306982.26013183594,-51.7609634399414,-27.4519748687744,-86.6073455810547,-62.0315246582031
11,3.5,259198.15979003906,-306982.26013183594,-61.7291564941406,-29.4756908416748,-85.2321243286133,-71.0059585571289
12,3.5,1166399.3408203116,-305046.27685546887,-52.4670600891113,-30.5166435241699,-80.260498046875,-63.1480522155762
13,3.5,129600.7003784178,-305046.27685546887,-59.5038108825684,-31.9484157562256,-77.6298751831055,-69.2412643432617
14,3.5,648000.0,-305046.27685546887,-58.3301048278809,-21.9898357391357,-102.764579772949,-66.0118560791016
15,3.5,907199.4506835925,-305046.22192382807,-52.1083526611328,-24.3412456512451,-93.1284332275391,-61.5122299194336
16,3.5,388800.5493164076,-305046.22192382807,-62.9312210083008,-26.5348834991455,-94.847770690918,-71.5028991699219
17,3.5,731320.2575683596,-298075.47912597674,-55.7029724121094,-20.036283493042,-104.406211853027,-62.9571151733398
18,3.5,564679.7424316404,-298075.47912597674,-61.6023101806641,-21.2313098907471,-107.978004455566,-68.4130172729492
19,3.5,990521.3012695308,-298075.47912597674,-49.1280860900879,-25.9387817382812,-88.4554443359375,-59.384635925293
20,3.5,305478.67126464826,-298075.47912597674,-64.9126281738281,-29.1350784301758,-87.4212188720703,-73.7234420776367
21,3.5,1249719.6533203116,-298075.42419433594,-53.3253593444824,-33.5663642883301,-73.5029144287109,-64.0490570068359
22,3.5,46280.39131164564,-298075.42419433594,-57.0675010681152,-34.329517364502,-71.3955612182617,-67.1250686645508
23,3.5,823879.412841798,-298075.3967285158,-52.534740447998,-21.2307262420654,-99.4461517333984,-60.7759590148926
24,3.5,472120.587158202,-298075.3967285158,-63.9841728210449,-23.5482349395752,-104.711967468262,-71.4072875976562
25,3.5,1083080.3466796884,-298075.3692626952,-49.223217010498,-29.1341018676758,-82.2951736450195,-60.1649169921875
26,3.5,212919.6121215822,-298075.3692626952,-63.1992797851562,-31.9707679748535,-77.4599380493164,-72.3760147094727
27,3.5,648000.0,-295103.56750488287,-58.954948425293,-19.2905712127686,-109.242141723633,-65.3005065917969
28,3.5,1166400.1098632808,-295103.56750488287,-49.9271125793457,-32.227180480957,-76.1813354492188,-61.1476631164551
29,3.5,129599.93133544932,-295103.56750488287,-60.8840446472168,-34.4573287963867,-70.1929626464844,-70.2464904785156
30,3.5,907200.0,-295103.51257324213,-49.5960159301758,-22.8159217834473,-94.5033187866211,-58.8361968994141
31,3.5,388800.027465822,-295103.51257324213,-65.9793243408203,-26.128231048584,-98.7342987060547,-74.0145111083984
32,3.5,777600.604248048,-289855.8380126952,-53.1558532714844,-18.3546028137207,-105.206001281738,-60.0470352172852
33,3.5,518399.395751952,-289855.8380126952,-64.690788269043,-20.6872634887695,-113.437759399414,-70.6447372436523
34,3.5,0.0,-289855.7556152342,-54.4582366943359,-36.350658416748,-66.9358062744141,-64.8175430297852
35,3.5,1036801.0986328117,-289855.70068359387,-46.3982925415039,-27.5738315582275,-84.294189453125,-57.4184951782227
36,3.5,259198.95629882807,-289855.70068359387,-66.6348037719727,-31.6665420532227,-78.1398849487305,-75.3048706054688
37,3.5,967890.5639648424,-288718.69812011713,-46.621509552002,-24.3731899261475,-90.0747451782227,-56.7643508911133
38,3.5,328109.43603515613,-288718.69812011713,-68.0206832885742,-28.6916923522949,-90.543586730957,-76.3604125976562
39,3.5,708690.2893066404,-288718.61572265613,-56.3555107116699,-17.350004196167,-110.154640197754,-62.1873092651367
40,3.5,587309.7106933596,-288718.61572265613,-62.1738052368164,-18.5277366638184,-114.890953063965,-67.4799118041992
41,3.5,1227089.6850585924,-288718.61572265613,-50.7228012084961,-35.2958755493164,-69.775634765625,-61.8736953735352
42,3.5,68910.32180786149,-288718.61572265613,-58.4020957946777,-36.8634643554688,-64.4548873901367,-67.8666915893555
43,3.5,846509.9853515616,-288718.58825683594,-50.0810241699219,-19.7094650268555,-100.315582275391,-58.0551605224609
44,3.5,449489.98718261643,-288718.58825683594,-66.9489212036133,-23.1153163909912,-109.964744567871,-73.6712799072266
45,3.5,1105710.5346679692,-288718.5333251952,-46.6644172668457,-30.7722949981689,-78.4647064208984,-58.2272033691406
46,3.5,190289.4927978517,-288718.5333251952,-64.6905822753906,-34.4286994934082,-68.6984176635742,-73.3509902954102
47,3.5,648000.0,-285190.79589843773,-59.5577087402344,-16.5973796844482,-115.301597595215,-64.3305892944336
48,3.5,907199.9450683596,-285190.68603515613,-47.1473274230957,-21.2568454742432,-95.6772537231445,-56.1557464599609
49,3.5,388800.027465822,-285190.68603515613,-68.9955825805664,-25.6594352722168,-103.974853515625,-76.4243774414062
50,3.5,1166400.5493164076,-285190.576171875,-47.2993011474609,-33.8801307678223,-72.6105651855469,-59.045825958252
51,3.5,129599.46441650375,-285190.576171875,-62.3450202941895,-36.9423446655273,-62.1516647338867,-70.9150238037109
52,3.5,1064931.9213867192,-281040.51818847674,-43.7255020141602,-29.168851852417,-80.5848388671875,-55.4507141113281
53,3.5,231068.02368164077,-281040.51818847674,-68.3143157958984,-34.1335487365723,-67.3110198974609,-76.3378372192383
54,3.5,1008669.3969726576,-281040.51818847674,-43.7886352539062,-25.9474010467529,-86.0869979858398,-54.7586059570312
55,3.5,287330.6579589842,-281040.51818847674,-69.9219360351562,-31.2094268798828,-79.4796752929688,-78.1298217773438
56,3.5,805732.1960449212,-281040.46325683594,-50.6909370422363,-16.7571640014648,-105.715881347656,-57.2179069519043
57,3.5,490267.8039550788,-281040.46325683594,-67.6751556396484,-20.1834125518799,-119.780555725098,-72.6709594726562
58,3.5,1267867.7490234384,-281040.46325683594,-51.7385787963867,-38.1923370361328,-63.4449043273926,-62.4353828430176
59,3.5,28132.28702545165,-281040.46325683594,-55.727237701416,-39.0088729858398,-60.3062400817871,-65.3473815917969
60,3.5,749467.96875,-281040.4083251952,-53.8154907226562,-15.583945274353,-110.561454772949,-59.1853065490723
61,3.5,546532.03125,-281040.4083251952,-65.2711944580078,-17.8989868164062,-121.038772583008,-69.4747009277344
62,3.5,954744.6533203117,-279127.33154296887,-44.1796913146973,-22.7670230865479,-91.484001159668,-54.1280288696289
63,3.5,341255.29174804693,-279127.33154296887,-71.0981063842773,-28.1765689849854,-95.1128845214844,-78.9379501342773
64,3.5,1118855.6762695308,-279127.33154296887,-44.0213737487793,-32.3589515686035,-75.0404968261719,-56.1894416809082
65,3.5,177144.26879882807,-279127.33154296887,-66.2689056396484,-36.8666572570801,-59.1196327209473,-73.9177703857422
66,3.5,859655.7861328116,-279127.30407714826,-47.6745452880859,-18.1579647064209,-101.058235168457,-55.3308219909668
67,3.5,436344.21386718843,-279127.30407714826,-69.8918304443359,-22.6294689178467,-116.772277832031,-75.7658462524414
68,3.5,695544.8181152329,-279127.16674804693,-56.9905738830566,-14.6637849807739,-115.575523376465,-61.1946487426758
69,3.5,600455.1818847671,-279127.16674804693,-62.7253341674805,-15.8239002227783,-121.203979492188,-66.2751159667969
70,3.5,1213944.43359375,-279127.08435058594,-48.0090026855469,-36.9647941589355,-66.5566940307617,-59.6115455627441
71,3.5,82055.55267333971,-279127.08435058594,-59.8291091918945,-39.379150390625,-57.1619262695312,-68.2996826171875
72,3.5,648000.0,-275260.88562011713,-60.1447944641113,-13.8978414535522,-120.911247253418,-63.126392364502
73,3.5,1166400.2197265616,-275260.85815429693,-44.564811706543,-35.4777374267578,-69.4544143676758,-56.8535003662109
74,3.5,129599.75280761711,-275260.85815429693,-63.9069290161133,-39.4123916625977,-53.6948051452637,-71.2148666381836
75,3.5,907200.3295898425,-275260.77575683594,-44.7463989257812,-19.6604080200195,-96.6993179321289,-53.4609794616699
76,3.5,388799.6429443356,-275260.77575683594,-71.9918212890625,-25.1282367706299,-111.352317810059,-78.6835784912109
77,3.5,777599.9450683596,-272671.10595703113,-51.3454856872559,-13.9089117050171,-110.748519897461,-56.2696838378906
78,3.5,518400.0549316404,-272671.10595703113,-68.2713775634766,-17.3211994171143,-127.979789733887,-71.2298202514648
79,3.5,0.0,-272671.10595703113,-52.9050827026367,-40.9677848815918,-57.1453514099121,-62.7775001525879
80,3.5,1036800.3295898424,-272671.0235595702,-41.0155982971191,-27.4889621734619,-82.4958343505859,-52.7567977905273
81,3.5,259199.64294433594,-272671.0235595702,-71.7841949462891,-33.6673736572266,-65.6735305786133,-79.2348480224609
82,3.5,730936.1206054692,-271858.447265625,-54.4698524475098,-12.850269317627,-115.57746887207,-58.1478652954102
83,3.5,565063.8793945308,-271858.447265625,-65.8061981201172,-15.1399612426758,-127.653846740723,-68.0132293701172
84,3.5,1249336.7797851576,-271858.36486816406,-48.900749206543,-39.9305648803711,-60.5458374023438,-60.0001335144043
85,3.5,46663.23394775376,-271858.36486816406,-57.1023788452148,-41.6120147705078,-53.5696640014648,-65.5956802368164
86,3.5,824263.7145996096,-271858.33740234387,-48.2852210998535,-15.1677722930908,-106.113464355469,-54.4204750061035
87,3.5,471736.2854003904,-271858.33740234387,-70.6070251464844,-19.6564884185791,-127.479057312012,-74.4450302124023
88,3.5,990136.4501953117,-271858.30993652326,-41.2952728271484,-24.2802181243896,-87.6706314086914,-52.1153411865234
89,3.5,305863.54980468773,-271858.30993652326,-73.1297760009766,-30.6569843292236,-81.73095703125,-80.9066848754883
90,3.5,1083463.9892578116,-271858.25500488287,-41.0169372558594,-30.7075386047363,-77.2507400512695,-53.4212265014648
91,3.5,212535.9970092774,-271858.25500488287,-70.050178527832,-36.556713104248,-55.3762817382812,-76.8157043457031
92,3.5,687024.0966796884,-269393.9392089842,-57.6081199645996,-11.9683752059937,-120.641792297363,-59.9930076599121
93,3.5,608975.9033203116,-269393.9392089842,-63.2672920227051,-13.1126317977905,-126.907043457031,-64.8379287719727
94,3.5,1127376.2329101576,-269393.91174316406,-41.2761764526367,-33.8892707824707,-71.965950012207,-54.0589485168457
95,3.5,168623.79455566403,-269393.91174316406,-67.9594039916992,-39.2866821289062,-49.1115837097168,-74.0387954711914
96,3.5,868175.9033203116,-269393.88427734387,-45.3071441650391,-16.5699977874756,-101.712814331055,-52.5961456298828
97,3.5,427824.09667968843,-269393.88427734387,-72.8194351196289,-22.085262298584,-125.740715026855,-77.6069030761719
98,3.5,946223.9868164076,-269393.85681152326,-41.7869567871094,-21.1233386993408,-92.7213592529297,-51.4695320129395
99,3.5,349775.98571777326,-269393.85681152326,-74.1526794433594,-27.5953693389893,-102.337600708008,-81.4144439697266
100,3.5,1205424.5361328116,-269393.82934570307,-45.1714401245117,-38.5761680603027,-63.7372779846191,-57.276538848877
101,3.5,90575.42953491217,-269393.82934570307,-61.3619728088379,-41.8838958740234,-49.6770248413086,-68.4004364013672
102,3.5,648000.0,-265297.98889160174,-60.7202224731445,-11.1879568099976,-126.054908752441,-61.7142372131348
103,3.5,907200.4394531231,-265297.8790283202,-42.3855209350586,-18.0272636413574,-97.6019744873047,-50.7495460510254
104,3.5,388799.5330810548,-265297.8790283202,-74.9704895019531,-24.5352764129639,-122.114974975586,-80.6805191040039
105,3.5,1166400.4394531231,-265297.7966308592,-41.7120018005371,-37.0162544250488,-66.6440658569336,-54.5827865600586
106,3.5,129599.60174560547,-265297.7966308592,-65.5888977050781,-41.8682098388672,-45.117359161377,-71.1259384155273
107,3.5,757414.8193359384,-263857.84606933594,-52.0046844482422,-11.1153287887573,-115.456657409668,-55.1779861450195
108,3.5,538585.1806640616,-263857.84606933594,-68.8071975708008,-14.5011444091797,-134.772048950195,-69.491455078125
109,3.5,1056985.1806640616,-263857.7362060548,-38.2337226867676,-28.9762287139893,-79.2451019287109,-50.7150840759277
110,3.5,239014.8193359377,-263857.7362060548,-73.6875534057617,-36.0716285705566,-50.1434326171875,-79.5899200439453
111,3.5,797784.9609375,-263857.65380859387,-48.9342880249023,-12.2648153305054,-110.853332519531,-53.4035491943359
112,3.5,498215.0390625,-263857.65380859387,-71.2076644897461,-16.741153717041,-135.962860107422,-72.6872787475586
113,3.5,1275815.1489257808,-263857.62634277326,-49.9398002624512,-42.7970848083496,-54.597282409668,-60.1811218261719
114,3.5,20184.799575805668,-263857.62634277326,-54.1921463012695,-43.6721038818359,-50.8695297241211,-62.8661193847656
115,3.5,1016615.1489257808,-263857.59887695307,-38.4545745849609,-25.7633323669434,-84.2016983032227,-50.0944213867188
116,3.5,279384.82360839826,-263857.59887695307,-75.1457138061523,-33.0848960876465,-63.1456260681152,-82.07275390625
117,3.5,717952.5878906231,-262429.01916503906,-55.1087188720703,-10.1252841949463,-120.269226074219,-56.930965423584
118,3.5,578047.4121093769,-262429.01916503906,-66.3245697021484,-12.3896903991699,-133.404327392578,-66.3253402709961
119,3.5,837247.6867675788,-262429.01916503906,-45.9237823486328,-13.5601091384888,-106.457336425781,-51.6321754455566
